Date,Day,Origin Display Name,,,,,,,,,,,,,,,,,,,
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/23/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2294,1325,3971,,,,,,,2369,1485,3781,1295,1086,1545,,,
06/24/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1592,877,2891,,,,1904,1221,2969,1989,1185,3337,778,563,1074,,,
06/25/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
06/26/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1037,666,1614,,,,,,,,,,1214,716,2059,,,
06/27/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2126,1034,4373,,,,,,,,,,1385,666,2877,,,
06/28/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
06/29/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
,,,"9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,2811,1954,4042,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
