Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/10/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",231,147,363,,,,205,139,304,254,163,397,224,135,372,211,124,359
06/11/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",229,139,376,,,,227,142,364,246,140,432,222,140,353,190,116,310
06/12/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",264,167,418,397,265,594,258,178,376,264,159,440,215,155,298,231,129,414
06/13/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",198,131,297,341,256,454,374,281,499,434,262,722,293,177,483,181,128,257
06/14/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",425,260,693,286,230,354,485,350,671,416,241,719,401,246,655,176,126,244
06/15/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",252,145,436,427,290,627,568,347,928,732,406,1319,414,244,701,236,140,400
06/16/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",186,129,268,331,218,504,303,189,487,382,279,522,241,151,384,184,126,267
06/17/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",222,135,365,204,137,305,201,145,279,247,151,402,260,147,458,230,137,388
06/18/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",379,201,714,422,252,705,551,257,1178,324,194,540,315,173,575,263,142,488
06/19/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",404,244,667,379,246,585,400,268,597,535,370,774,262,170,402,227,133,388
06/20/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",230,143,369,555,318,970,508,325,793,875,515,1486,405,221,743,199,136,293
06/21/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",456,246,846,480,288,801,485,303,776,635,381,1061,283,174,460,183,131,255
06/22/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",535,318,901,498,373,664,631,340,1173,558,363,860,411,235,717,195,129,295
06/23/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",222,138,359,224,179,280,348,213,568,383,250,588,271,162,453,222,135,364
06/24/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",218,137,347,428,302,605,204,140,295,206,131,322,238,141,400,210,132,335
06/25/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",198,136,288,180,138,235,181,138,238,185,133,257,232,141,380,165,114,237
06/26/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",262,144,476,471,316,701,973,534,1773,358,213,602,323,167,623,223,131,381
06/27/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",230,143,368,362,291,449,530,312,899,743,487,1134,287,173,478,207,136,315
06/28/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",358,219,585,312,260,374,421,290,610,388,237,633,246,160,377,193,129,289
06/29/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",668,366,1218,552,433,704,756,504,1133,566,333,961,786,366,1686,277,139,552
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
