Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,1716,1472,2000,3471,2397,5025,2566,2135,3085,2119,1360,3301,,,
04/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,,,,1365,972,1917,,,,,,
04/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1079,817,1424,979,796,1202,1394,972,1999,1627,1245,2125,1398,831,2352,1079,817,1424
04/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,,,,988,871,1120,1119,816,1534,,,
04/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1107,751,1631,,,,1519,993,2322,893,673,1185,1202,925,1561,972,715,1323
05/01/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2056,1234,3424,,,,3684,2705,5015,1723,1135,2615,,,,1266,869,1846
05/02/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2663,1823,3888,,,,3736,2851,4895,2282,1772,2938,3418,1828,6388,1006,708,1430
05/03/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2321,1565,3442,2130,1744,2600,2770,1772,4332,1869,1378,2534,2287,1456,3593,,,
05/04/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2506,1591,3946,,,,,,,2109,1675,2655,2155,1252,3709,854,717,1017
05/05/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",953,686,1325,,,,1304,1073,1585,1425,1050,1935,1118,802,1558,953,686,1325
05/06/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1137,811,1594,,,,958,799,1149,1143,818,1597,1273,848,1912,,,
05/07/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1606,1156,2233,2048,1817,2309,1891,1288,2777,1400,1085,1808,1549,1039,2308,,,
05/08/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,3003,2225,4053,1854,1471,2335,1634,1014,2632,,,
